t x0 x1 x2 x3 u w V_max
0.064000 0.012141 0.220706 0.012141 0.220706 -2.500000 5.100000 1.496953
0.066000 0.012582 0.214009 0.012582 0.214009 -5.000000 5.100000 1.534022
0.068000 0.013010 0.217194 0.013010 0.217194 -2.500000 5.100000 1.571476
0.070000 0.013445 0.210625 0.013445 0.210625 -5.000000 5.100000 1.610633
0.072000 0.013866 0.213935 0.013866 0.213935 -2.500000 5.100000 1.650118
0.074000 0.014294 0.217141 0.014294 0.217141 -2.500000 5.100000 1.691534
0.076000 0.014728 0.210593 0.014728 0.210593 -5.000000 5.100000 1.734692
0.078000 0.015149 0.213921 0.015149 0.213921 -2.500000 5.100000 1.778129
0.080000 0.015577 0.207492 0.015577 0.207492 -5.000000 5.100000 1.823319
0.082000 0.015992 0.210935 0.015992 0.210935 -2.500000 5.100000 1.868742
0.084000 0.016414 0.214271 0.016414 0.214271 -2.500000 5.100000 1.916225
0.086000 0.016842 0.207849 0.016842 0.207849 -5.000000 5.100000 1.965504
0.088000 0.017258 0.211298 0.017258 0.211298 -2.500000 5.100000 2.014980
0.090000 0.017681 0.204987 0.017681 0.204987 -5.000000 5.100000 2.066268
0.092000 0.018091 0.208543 0.018091 0.208543 -2.500000 5.100000 2.117723
0.094000 0.018508 0.202335 0.018508 0.202335 -5.000000 5.100000 2.171007
0.096000 0.018912 0.205990 0.018912 0.205990 -2.500000 5.100000 2.224432
0.098000 0.019324 0.209531 0.019324 0.209531 -2.500000 5.100000 2.280113
0.100000 0.019743 0.203310 0.019743 0.203310 -5.000000 5.100000 2.337668
0.102000 0.020150 0.206951 0.020150 0.206951 -2.500000 5.100000 2.395348
0.104000 0.020564 0.200828 0.020564 0.200828 -5.000000 5.100000 2.454922
0.106000 0.020966 0.204563 0.020966 0.204563 -2.500000 5.100000 2.514605
0.108000 0.021375 0.198531 0.021375 0.198531 -5.000000 5.100000 2.576205
0.110000 0.021772 0.202354 0.021772 0.202354 -2.500000 5.100000 2.637905
0.112000 0.022177 0.196407 0.022177 0.196407 -5.000000 5.100000 2.701547
0.114000 0.022569 0.200312 0.022569 0.200312 -2.500000 5.100000 2.765284
0.116000 0.022970 0.194445 0.022970 0.194445 -5.000000 5.100000 2.830988
0.118000 0.023359 0.198427 0.023359 0.198427 -2.500000 5.100000 2.896787
0.120000 0.023756 0.192634 0.023756 0.192634 -5.000000 5.100000 2.964581
0.122000 0.024141 0.196688 0.024141 0.196688 -2.500000 5.100000 3.032473
0.124000 0.024534 0.190965 0.024534 0.190965 -5.000000 5.100000 3.102388
0.126000 0.024916 0.195085 0.024916 0.195085 -2.500000 5.100000 3.172410
0.128000 0.025306 0.189429 0.025306 0.189429 -5.000000 5.100000 3.244484
0.130000 0.025685 0.183964 0.025685 0.183964 -5.000000 5.100000 3.315941
0.132000 0.026053 0.188333 0.026053 0.188333 -2.500000 5.100000 3.387528
0.134000 0.026430 0.182917 0.026430 0.182917 -5.000000 5.100000 3.461215
0.136000 0.026796 0.187331 0.026796 0.187331 -2.500000 5.100000 3.535052
0.138000 0.027170 0.181961 0.027170 0.181961 -5.000000 5.100000 3.611020
0.140000 0.027534 0.186419 0.027534 0.186419 -2.500000 5.100000 3.687158
0.142000 0.027907 0.181091 0.027907 0.181091 -5.000000 5.100000 3.765459
0.144000 0.028269 0.175945 0.028269 0.175945 -5.000000 5.100000 3.843053
0.146000 0.028621 0.180619 0.028621 0.180619 -2.500000 5.100000 3.920866
0.148000 0.028982 0.175501 0.028982 0.175501 -5.000000 5.100000 4.000901
0.150000 0.029333 0.180201 0.029333 0.180201 -2.500000 5.100000 4.081184
0.152000 0.029694 0.175109 0.029694 0.175109 -5.000000 5.100000 4.163721
0.154000 0.030044 0.170192 0.030044 0.170192 -5.000000 5.100000 4.245508
0.156000 0.030384 0.175084 0.030384 0.175084 -2.500000 5.100000 4.327609
0.158000 0.030735 0.170179 0.030735 0.170179 -5.000000 5.100000 4.412026
0.160000 0.031075 0.165443 0.031075 0.165443 -5.000000 5.100000 4.495683
0.162000 0.031406 0.170508 0.031406 0.170508 -2.500000 5.100000 4.579727
0.164000 0.031747 0.165773 0.031747 0.165773 -5.000000 5.100000 4.666153
0.166000 0.032078 0.161200 0.032078 0.161200 -5.000000 5.100000 4.751814
0.168000 0.032401 0.166423 0.032401 0.166423 -2.500000 5.100000 4.837942
0.170000 0.032734 0.161841 0.032734 0.161841 -5.000000 5.100000 4.926519
0.172000 0.033057 0.157416 0.033057 0.157416 -5.000000 5.100000 5.014331
0.174000 0.033372 0.153143 0.033372 0.153143 -5.000000 5.100000 5.101398
0.176000 0.033678 0.158653 0.033678 0.158653 -2.500000 5.100000 5.189066
0.178000 0.033996 0.154351 0.033996 0.154351 -5.000000 5.100000 5.279291
0.180000 0.034304 0.150197 0.034304 0.150197 -5.000000 5.100000 5.368776
0.182000 0.034605 0.155821 0.034605 0.155821 -2.500000 5.100000 5.458956
0.184000 0.034917 0.151632 0.034917 0.151632 -5.000000 5.100000 5.551761
0.186000 0.035220 0.147586 0.035220 0.147586 -5.000000 5.100000 5.643834
0.188000 0.035515 0.143679 0.035515 0.143679 -5.000000 5.100000 5.735201
0.190000 0.035802 0.139907 0.035802 0.139907 -5.000000 5.100000 5.825889
0.192000 0.036082 0.145898 0.036082 0.145898 -2.500000 5.100000 5.917482
0.194000 0.036374 0.142065 0.036374 0.142065 -5.000000 5.100000 6.011855
0.196000 0.036658 0.138365 0.036658 0.138365 -5.000000 5.100000 6.105559
0.198000 0.036935 0.134792 0.036935 0.134792 -5.000000 5.100000 6.198625
0.200000 0.037204 0.131343 0.037204 0.131343 -5.000000 5.100000 6.291083
0.202000 0.037467 0.137642 0.037467 0.137642 -2.500000 5.100000 6.384670
0.204000 0.037742 0.134112 0.037742 0.134112 -5.000000 5.100000 6.481190
0.206000 0.038011 0.130703 0.038011 0.130703 -5.000000 5.100000 6.577113
0.208000 0.038272 0.127413 0.038272 0.127413 -5.000000 5.100000 6.672474
0.210000 0.038527 0.124237 0.038527 0.124237 -5.000000 5.100000 6.767304
0.212000 0.038775 0.121172 0.038775 0.121172 -5.000000 5.100000 6.861637
0.214000 0.039018 0.118213 0.039018 0.118213 -5.000000 5.100000 6.955508
0.216000 0.039254 0.115357 0.039254 0.115357 -5.000000 5.100000 7.048950
0.218000 0.039485 0.112601 0.039485 0.112601 -5.000000 5.100000 7.141999
0.220000 0.039710 0.119566 0.039710 0.119566 -2.500000 5.100000 7.236662
0.222000 0.039949 0.116683 0.039949 0.116683 -5.000000 5.100000 7.334594
0.224000 0.040182 0.113902 0.040182 0.113902 -5.000000 5.100000 7.432136
0.226000 0.040410 0.111218 0.040410 0.111218 -5.000000 5.100000 7.529324
0.228000 0.040633 0.108629 0.040633 0.108629 -5.000000 5.100000 7.626194
0.230000 0.040850 0.106130 0.040850 0.106130 -5.000000 5.100000 7.722781
0.232000 0.041062 0.103720 0.041062 0.103720 -5.000000 5.100000 7.819122
0.234000 0.041270 0.101394 0.041270 0.101394 -5.000000 5.100000 7.915252
0.236000 0.041472 0.099152 0.041472 0.099152 -5.000000 5.100000 8.011207
0.238000 0.041671 0.096988 0.041671 0.096988 -5.000000 5.100000 8.107023
0.240000 0.041865 0.094902 0.041865 0.094902 -5.000000 5.100000 8.202735
0.242000 0.042055 0.092890 0.042055 0.092890 -5.000000 5.100000 8.298377
0.244000 0.042240 0.090950 0.042240 0.090950 -5.000000 5.100000 8.393986
0.246000 0.042422 0.089080 0.042422 0.089080 -5.000000 5.100000 8.489595
0.248000 0.042600 0.087277 0.042600 0.087277 -5.000000 5.100000 8.585239
0.250000 0.042775 0.085540 0.042775 0.085540 -5.000000 5.100000 8.680951
0.252000 0.042946 0.122314 0.042946 0.122314 5.000000 5.100000 8.748453
0.254000 0.043191 0.157884 0.043191 0.157884 5.000000 5.100000 8.878679
0.256000 0.043506 0.192290 0.043506 0.192290 5.000000 5.100000 9.033805
0.258000 0.043891 0.225570 0.043891 0.225570 5.000000 5.100000 9.213816
0.260000 0.044342 0.257762 0.044342 0.257762 5.000000 5.100000 9.418787
0.262000 0.044858 0.288902 0.044858 0.288902 5.000000 5.100000 9.648876
0.264000 0.045435 0.290207 0.045435 0.290207 -2.500000 5.100000 9.895953
0.266000 0.046016 0.291481 0.046016 0.291481 -2.500000 5.100000 10.148202
0.268000 0.046599 0.292723 0.046599 0.292723 -2.500000 5.100000 10.405683
0.270000 0.047184 0.284335 0.047184 0.284335 -5.000000 5.100000 10.665428
0.272000 0.047753 0.285834 0.047753 0.285834 -2.500000 5.100000 10.926541
0.274000 0.048325 0.277698 0.048325 0.277698 -5.000000 5.100000 11.189918
0.276000 0.048880 0.279436 0.048880 0.279436 -2.500000 5.100000 11.454812
0.278000 0.049439 0.271535 0.049439 0.271535 -5.000000 5.100000 11.721977
0.280000 0.049982 0.273497 0.049982 0.273497 -2.500000 5.100000 11.990819
0.282000 0.050529 0.265816 0.050529 0.265816 -5.000000 5.100000 12.261946
0.284000 0.051061 0.267987 0.051061 0.267987 -2.500000 5.100000 12.534921
0.286000 0.051597 0.260511 0.051597 0.260511 -5.000000 5.100000 12.810199
0.288000 0.052118 0.262877 0.052118 0.262877 -2.500000 5.100000 13.087507
0.290000 0.052643 0.255594 0.052643 0.255594 -5.000000 5.100000 13.367139
0.292000 0.053155 0.258142 0.053155 0.258142 -2.500000 5.100000 13.648992
0.294000 0.053671 0.251038 0.053671 0.251038 -5.000000 5.100000 13.933193
0.296000 0.054173 0.244180 0.054173 0.244180 -5.000000 5.100000 14.215691
0.298000 0.054661 0.247133 0.054661 0.247133 -2.500000 5.100000 14.500761
0.300000 0.055156 0.240427 0.055156 0.240427 -5.000000 5.100000 14.788262
0.302000 0.055636 0.233953 0.055636 0.233953 -5.000000 5.100000 15.074157
0.304000 0.056104 0.237270 0.056104 0.237270 -2.500000 5.100000 15.362990
0.306000 0.056579 0.230924 0.056579 0.230924 -5.000000 5.100000 15.654349
0.308000 0.057041 0.224797 0.057041 0.224797 -5.000000 5.100000 15.944210
0.310000 0.057490 0.218883 0.057490 0.218883 -5.000000 5.100000 16.232652
0.312000 0.057928 0.222733 0.057928 0.222733 -2.500000 5.100000 16.524587
0.314000 0.058373 0.216909 0.058373 0.216909 -5.000000 5.100000 16.819216
0.316000 0.058807 0.211288 0.058807 0.211288 -5.000000 5.100000 17.112549
0.318000 0.059230 0.205863 0.059230 0.205863 -5.000000 5.100000 17.404673
0.320000 0.059642 0.210177 0.059642 0.210177 -2.500000 5.100000 17.700862
0.322000 0.060062 0.204811 0.060062 0.204811 -5.000000 5.100000 17.999922
0.324000 0.060472 0.199632 0.060472 0.199632 -5.000000 5.100000 18.297901
0.326000 0.060871 0.194634 0.060871 0.194634 -5.000000 5.100000 18.594894
0.328000 0.061260 0.189811 0.061260 0.189811 -5.000000 5.100000 18.890993
0.330000 0.061640 0.185157 0.061640 0.185157 -5.000000 5.100000 19.186293
0.332000 0.062010 0.180667 0.062010 0.180667 -5.000000 5.100000 19.480890
0.334000 0.062371 0.176334 0.062371 0.176334 -5.000000 5.100000 19.774878
0.336000 0.062724 0.172154 0.062724 0.172154 -5.000000 5.100000 20.068354
0.338000 0.063068 0.168121 0.063068 0.168121 -5.000000 5.100000 20.361414
0.340000 0.063405 0.164231 0.063405 0.164231 -5.000000 5.100000 20.654154
0.342000 0.063733 0.160479 0.063733 0.160479 -5.000000 5.100000 1.082483
0.344000 0.064054 0.156860 0.064054 0.156860 -5.000000 5.100000 1.275405
0.346000 0.064368 0.153370 0.064368 0.153370 -5.000000 5.100000 1.470454
0.348000 0.064674 0.150004 0.064674 0.150004 -5.000000 5.100000 1.667646
0.350000 0.064974 0.146759 0.064974 0.146759 -5.000000 5.100000 1.866999
0.352000 0.065268 0.143630 0.065268 0.143630 -5.000000 5.100000 2.068533
0.354000 0.065555 0.140613 0.065555 0.140613 -5.000000 5.100000 0.000000
